showpart,signature,bpm,num_bars,transition,color
klickintro,4/4,130,2,instant,#ffffff
intro,4/4,130,8,instant,#00ffff
vers1,4/4,130,8,instant,#00ffff
vers2,4/4,130,8,instant,#00ffff
solo1,4/4,130,8,instant,#ff8000
vers3,4/4,130,8,instant,#00ffff
chorus1,4/4,130,8,instant,#ff0080
chorus2,4/4,130,8,instant,#ff0080
interlude,4/4,130,4,instant,#ff8000
vers4,4/4,130,8,instant,#00ffff
vers5,4/4,130,8,instant,#00ffff
chorus3,4/4,130,8,instant,#ff0080
chorus4,4/4,130,8,instant,#ff0080
solo2,4/4,130,8,instant,#ff8000
chorus5,4/4,130,8,instant,#ff0080
chorus6,4/4,130,8,instant,#ff0080
outro,4/4,130,2,instant,#ff0000
